ZONE,STATE,DEALER NAME,CHEQUE BOUNCE,DEALER YEARS,PHONE NUMBER,EMAIL ADDRESS,Q1016,Q2016,Q3016,Q4016,Q1017,Q2017,Q3017,Q4017,Q1018,CREDITABILITY
3,11,A.K.HARDWARE, 2 ,16,1,2,0,0,0,0,0,0,0,0,0,1
5,27,A.KUMAR, 2 ,6,2,2,"61,972","39,795","68,243","45,844","45,994","52,100","1,10,033","45,192",0,1
3,4,A.N.Traders, 2 ,13,2,1,0,0,0,0,0,0,0,0,0,1
1,24,A.R. GOKUL HARDWARE, 2 ,6,2,1,0,0,"2,29,918",0,0,"1,14,018",0,"92,876",0,1
1,24,A.S.ENTERPRISES, 2 ,10,2,1,"1,15,439","1,32,257","2,38,179","6,86,530","2,35,728","1,49,857","1,82,606","4,901","2,40,930",1
2,22,Aacharya Traders, 1 ,6,1,1,0,0,0,0,0,0,0,0,0,0
2,8,AADHAR STEEL CORPORATION, 2 ,8,2,1,0,0,0,0,0,0,0,0,0,1
1,24,AADHITHYA TRADERS, 2 ,6,2,1,"1,55,055","1,58,470","90,750","4,04,275",0,"1,48,800","1,24,300",0,0,1
5,27,AAGMAN TRADERS, 2 ,8,2,1,"1,25,613","1,24,203",0,"1,16,103","3,60,738","1,21,865","2,08,510","1,05,929","3,74,787",1
1,24,AATHESH ELECTRICAL & HARDWARE, 2 ,6,2,1,"2,76,766",0,"1,68,012","65,860","2,52,472","36,741","1,28,594",0,0,1
4,15,AAYUSH CONSTRUCTION, 2 ,12,2,2,"1,41,250","2,41,630","4,65,320","4,95,155","3,45,975","1,14,600","2,26,330","4,58,323","2,31,400",1
4,15,ABDUL KADER MOHAMMAD BHAI, 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
5,14,ABHISHEK BROTHERS, 2 ,12,1,1,"2,72,250",0,0,"3,78,480","1,95,000",0,0,"3,22,740","1,93,800",1
1,12,ABHISHEK ENTERPRISES, 1 ,8,2,1,"6,14,975","8,29,994","4,87,513","7,01,943",0,"87,481","4,19,254","5,24,722","6,19,251",0
1,1,ABHISHEK STEELS, 2 ,12,2,1,"11,45,192","32,69,372","38,80,523","43,20,943","39,10,300","26,81,197","8,89,322","11,13,787","10,61,497",1
5,5,Abis Export Ind. Pvt. Ltd. Rajnandg, 2 ,6,1,1,0,0,0,0,0,0,0,0,"1,79,600",1
2,21,ACHHRU RAM AJUDHIA PARSHAD, 2 ,11,2,2,"6,35,555","6,67,203","7,53,919","5,04,200","1,66,697",0,"6,46,873","3,66,126","7,30,798",1
5,27,ADARSH ASSOCIATES, 2 ,17,2,2,"34,08,258","11,57,788","12,13,107","10,46,923","28,56,962","14,80,922","10,82,015","6,10,193",0,1
3,4,Adarsh Enterprises, 2 ,10,2,1,"4,50,702","2,25,177","2,82,985","4,28,301","9,81,765","3,77,505","4,62,019","7,64,551","10,89,679",1
5,14,ADARSH HARDWARE, 2 ,16,2,1,"4,27,561",0,"3,34,500","2,42,888","2,32,500","1,20,750","1,60,600","2,17,500","2,25,000",1
4,15,ADINATH TRADERS, 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
1,13,ADITHYA TRADERS, 2 ,6,2,1,"1,11,437","43,807","46,272","84,686","76,053","58,912","46,531","38,650","40,892",1
1,12,ADITYA CEMENT AND STEEL, 2 ,7,2,1,0,0,0,0,"1,04,037",0,0,0,0,1
2,9,ADITYA INDUSTRIES, 2 ,7,2,1,0,0,0,0,0,0,0,0,0,1
1,24,AEG HARDWARES, 2 ,8,2,1,"1,54,063",0,0,0,"1,52,075",0,0,0,0,1
5,27,AGAM ENTERPRISES, 2 ,17,2,2,"61,89,996","21,81,694","28,71,099","49,52,884","59,29,601","24,87,581","40,52,658","52,18,985","74,75,037",1
5,14,AGARWAL HARDWARE AND MACHINERY STOR, 2 ,8,2,1,"2,52,000",0,0,0,0,0,0,0,0,1
3,4,AGARWAL HARDWARE STORE, 2 ,15,2,1,"4,99,337","1,33,634","1,27,446","2,50,953","3,77,529","2,62,255","1,25,474","2,26,171","4,47,059",1
5,14,AGARWAL IRON STORES, 2 ,9,2,1,"1,18,736",0,0,0,0,0,0,0,0,1
2,22,Agarwal Sales Corporation, 2 ,14,2,1,"10,75,380",0,0,"1,55,711",0,0,0,0,"1,89,600",1
2,27,Agarwal steel and cement, 1 ,11,2,1,"2,94,741",0,0,0,"3,83,694",0,0,0,0,0
2,27,Agarwal Syndicate, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
2,27,AGARWAL TIMBER & IRON MARCHENT, 2 ,14,2,1,"5,67,254","4,88,603","5,41,059","4,58,749","5,79,514","5,82,700","9,12,567","5,76,919","7,58,779",1
2,28,AGARWAL TRADERS, 2 ,14,2,2,"7,73,644","3,78,370","2,99,988","3,58,399","7,36,569","1,15,844","3,00,300","4,71,090","4,53,870",1
2,8,AGGARWAL BUILDING MATERIAL, 2 ,7,1,1,0,"1,12,234","1,12,648",0,0,0,0,0,0,1
2,21,AGGARWAL STEEL TRADERS, 2 ,15,2,1,"14,13,190","9,51,796","10,03,186","14,55,060","7,40,482","13,18,436","10,16,119","22,48,441","16,14,031",1
5,14,AGRASEN ENTERPRISES, 2 ,6,1,1,0,0,"4,96,105","5,19,243",0,0,"6,306",0,0,1
5,14,AGRAWAL SALES AND CORPORATION, 2 ,16,2,2,"8,16,890",0,"2,50,500","4,81,150","7,43,668","2,39,145",0,"2,29,825","2,28,806",1
5,14,AGRAWAL STEEL TRADERS, 2 ,11,2,1,"6,93,580",0,"2,17,560","4,66,655","11,44,325",0,"1,22,840","4,14,000",0,1
5,14,AGRAWAL TRADERS, 2 ,12,2,2,"10,00,465",0,"1,80,375","4,54,863","2,35,170",0,0,"4,34,855","4,76,250",1
2,22,Agrawal Traders, 2 ,4,1,1,0,0,0,0,0,0,0,0,0,1
1,12,AHMED STEELS, 2 ,13,2,1,"2,36,947","1,91,341","1,16,882","3,82,796",0,0,0,0,0,1
5,14,AHUJA ENTERPRISES, 2 ,15,2,1,"2,80,000",0,0,"3,75,750",0,0,0,"1,74,000","5,11,920",1
2,27,AIRON TRADERS, 2 ,13,2,1,0,"3,03,216",0,"2,54,806",0,"2,30,868","1,63,343","2,39,383","2,53,768",1
2,21,AJAIB CEMENT STORE, 2 ,8,2,1,0,0,0,0,0,0,0,0,0,1
2,27,AJAY TRADERS, 2 ,8,2,1,0,0,0,0,0,0,0,0,0,1
3,4,Ajay Traders, 2 ,6,2,1,"1,15,997",0,"88,568","1,54,775",0,"1,73,911","1,13,242",0,0,1
2,22,AJIT SINGH CHANDRA PRAKASH, 1 ,9,2,1,0,0,"2,31,358","3,03,822",0,0,0,0,0,0
4,15,AJIT TRADERS, 2 ,12,2,1,"9,96,535","2,26,312","2,13,000","2,67,779","6,43,906","7,88,740","6,28,761","6,58,370","9,35,918",1
1,12,AKASH STEELS & CEMENTS, 2 ,8,2,1,"6,44,815","2,50,696","75,674","1,15,467","1,80,277","3,62,558","2,74,364",0,"2,09,037",1
1,13,AKKADAYIL HARDWARES, 2 ,10,2,1,"66,001","1,54,626","1,51,545","1,50,480","1,77,234","1,22,114","1,32,371","1,84,235","2,35,281",1
2,28,Akshay traders, 2 ,10,2,1,"1,13,994",0,0,0,0,0,0,0,0,1
4,15,AKSHAY TRADERS, 2 ,10,1,1,0,0,0,0,0,0,0,0,0,1
1,24,AL BISMI HARDWARES, 2 ,8,2,1,0,0,"1,43,994",0,0,0,0,0,0,1
1,24,AL SAFA STEELS, 2 ,13,2,1,0,0,0,0,0,0,0,0,0,1
1,12,AL0FATHA DA ROOFING SOLUTIONS, 2 ,5,1,1,0,0,0,0,0,0,0,0,0,1
4,7,"ALIMOHAMED ABDUL HUSEIN LATIWALA,", 2 ,13,2,2,"2,08,181","75,134",0,0,"2,99,566","1,08,684",0,"1,42,151","7,62,784",1
1,24,AM TRADERS, 2 ,14,2,1,"71,94,614","62,18,649","17,12,927",0,0,0,"1,91,724","14,44,461","6,65,280",1
5,5,AMAN AGENCY, 2 ,7,2,1,0,0,0,0,0,0,0,0,0,1
4,7,AMAN ENTERPRISES, 2 ,14,1,1,0,0,0,0,0,0,0,0,0,1
4,7,AMB ENTERPRISE, 2 ,10,1,1,0,0,0,0,0,"1,80,181","1,79,212","2,31,538","8,04,962",1
4,15,AMBA TRADERS, 2 ,12,1,1,"10,79,348",0,"4,56,000","1,12,500","3,81,271","2,39,326",0,"1,13,100",0,1
5,14,AMBEY CONSTRUCTION, 2 ,15,2,2,"11,28,147","1,13,738","1,87,425","17,25,188","7,32,480","5,20,252","10,87,067","23,26,598","4,20,035",1
5,5,AMBIKA AGENCIES, 2 ,12,2,2,"2,51,810",0,0,0,"2,36,060",0,0,0,0,1
1,13,AMBIKA AGENCIES, 2 ,7,2,1,"37,732",0,0,0,0,0,0,0,0,1
3,20,AMBIKA TRADERS, 2 ,12,2,1,"26,08,659","13,85,257","9,71,431","11,83,117","26,79,589","10,96,026","12,22,273","12,34,003","27,76,035",1
1,13,AMCO STEELS, 2 ,16,2,1,"7,79,907","3,93,244","1,90,217","2,71,487","2,65,140","1,73,357","1,16,931",0,0,1
1,12,AMEENA B  TRADERS, 2 ,10,2,1,"2,69,532","2,35,359","1,25,528","2,74,139","1,49,586","1,33,234","4,78,024","5,58,135","2,87,545",1
5,27,AMEY VIKRAMA, 2 ,14,2,1,"1,40,30,475","16,81,118","34,07,124","72,35,421","74,62,071","40,68,111","59,03,085","98,17,010",0,1
3,11,AMIT ENTERPRISES, 2 ,7,2,1,0,0,0,0,0,0,0,0,0,1
2,27,Amit Kumar Lalit kumar, 2 ,16,2,1,"2,11,951","6,46,999","1,47,095","4,68,279","3,06,614","3,85,546","5,27,050","4,23,640",0,1
5,27,AMIT PAINT HOUSE, 2 ,11,2,1,"14,05,047",0,"1,14,426",0,0,0,0,0,0,1
5,14,AMIT TRADERS, 2 ,14,2,1,"5,16,450",0,0,"1,86,000",0,"1,50,300","4,19,765",0,"4,30,405",1
5,5,AMIT TRADING COMPANY, 2 ,12,2,2,"13,82,838","30,800","1,01,175","5,70,805","16,79,488","1,30,238","3,14,966","4,36,903","5,32,780",1
5,27,AMIT TRADING COMPANY, 2 ,10,2,1,"21,28,121","39,05,024","56,61,287","61,71,634","76,65,529","52,83,921","87,76,965","71,00,814","1,24,73,222",1
1,24,AMMAN STEEL CORPORATION, 2 ,14,2,1,"8,90,845","9,11,781","6,52,896","4,95,572","2,80,630",0,0,0,0,1
1,24,AMMINIKUTTY EDUCATIONAL AND CHARITA, 2 ,6,2,1,0,0,0,0,0,0,0,0,0,1
4,15,AMOL TRADERS, 2 ,14,2,2,"1,20,49,981","18,57,992","25,33,955","37,78,561","97,03,854","27,46,419","35,53,132","45,50,609","61,88,847",1
1,24,AMRIT BREEDER FARMS PVT LTD, 2 ,11,2,1,0,0,0,0,0,0,0,0,"3,45,229",1
5,14,ANAND STORES, 2 ,8,2,1,"2,00,000",0,0,"66,280","1,07,527",0,0,"1,18,700",0,1
5,14,ANAND TRADERS, 2 ,15,1,1,"2,47,050",0,0,0,"1,95,000",0,0,0,0,1
1,24,ANANDA TIMBER DEPOT, 2 ,6,2,1,"2,08,027","2,53,728","5,64,561","1,69,500","2,69,506","1,99,604","93,413","91,733","1,72,050",1
1,24,ANANDA TRADERS, 2 ,8,2,1,"1,09,233",0,0,0,0,0,0,0,0,1
5,14,ANANT SPINNING MILLS, 2 ,8,1,1,"2,55,000",0,0,0,"2,51,050",0,0,0,"2,28,000",1
1,24,ANANTHA AGENCIES, 2 ,10,2,1,0,0,0,0,0,"76,950",0,0,0,1
4,7,ANAWAL UKPR SALE MANDI LTD, 2 ,11,2,1,"5,95,308","2,18,677",0,"64,042","4,58,325",0,0,"2,43,863",0,1
1,24,ANBU TRADE CORPORATION, 2 ,8,2,1,"43,985","2,69,538",0,0,0,0,0,0,0,1
1,24,ANBU TRADERS, 2 ,7,2,1,0,0,0,0,0,0,0,0,0,1
1,24,ANBU TRADERS, 2 ,7,2,1,"3,96,249","4,22,210","3,64,995","1,82,223","4,42,000","2,88,750","5,22,568","5,06,690",0,1
1,13,ANDATHETH AGENCIES, 2 ,12,2,1,"3,65,755","85,993","5,06,231","5,40,725","3,95,413","1,27,016","2,31,082","2,43,597","4,60,887",1
1,24,Andavar Electricals, 2 ,15,2,1,"2,91,126","4,39,454","2,26,594","2,39,706","2,40,008","2,76,248","1,07,064","1,31,711","2,78,837",1
1,24,ANEES STEELS, 2 ,9,2,1,"1,34,230","2,86,726","1,52,108","72,000","2,40,677","2,68,015","1,27,274","3,23,906","61,234",1
2,21,ANEJA IRON STORE, 2 ,15,2,1,"3,39,740","1,67,654","3,09,194","1,40,529",0,"1,15,754","1,77,006","1,81,351","5,83,936",1
1,24,ANGALAMMAN STEELS, 1 ,6,2,1,0,0,0,0,0,0,0,0,0,0
3,11,ANGANI CEMENT GOODS, 2 ,8,2,1,"68,941","2,25,721",0,"2,88,874","1,56,067","66,193","2,27,860",0,"2,10,484",1
5,14,ANIL TRADER, 2 ,10,2,1,0,0,"4,85,260",0,0,0,0,0,0,1
1,13,ANITHA SALES CORPORATION, 2 ,6,1,1,"86,808",0,0,0,0,0,0,0,0,1
1,24,ANJALI STEEL ENTERPRISE, 2 ,7,2,1,0,0,0,0,0,0,"23,759",0,0,1
5,14,ANJALY MINERALS, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
5,14,ANJU HARDWARE, 2 ,10,2,1,"7,80,115","4,63,625","10,08,905","4,49,235","2,30,923","2,57,250","2,30,280",0,"7,28,370",1
5,27,ANKIT ENTERPRISES, 2 ,16,2,2,"1,02,51,988","48,20,635","46,72,055","55,06,452","80,12,312","12,91,255","35,39,054","10,09,190",0,1
2,21,ANKIT0D STEEL & ELECTRICAL STORE, 2 ,16,2,1,"3,51,779",0,"4,89,894","6,93,169","4,81,525","1,95,255","5,33,303","8,08,364","7,97,112",1
3,29,ANNAPURNA BUILDING STORES, 2 ,17,2,2,"34,48,791","7,35,069","7,07,644","8,28,646","31,21,371","9,83,076","4,08,684","10,86,435","19,37,110",1
5,27,ANNAPURNA CEMENT AGENCY, 2 ,9,2,1,"8,15,970","1,03,192",0,0,0,0,0,0,0,1
3,29,ANNAPURNA TRADING AGENCY, 2 ,10,2,1,"5,78,057","4,30,060","5,66,214","5,44,189","4,29,361","2,76,822","2,76,173","2,71,992","5,53,927",1
1,13,ANNIE PUN2SE, 2 ,14,2,1,"3,35,804","90,134","2,06,659","1,28,851","2,82,316","1,20,449","1,17,809","1,22,288","2,02,879",1
2,8,ANNPURNA OVERSEAS PVT. LTD, 2 ,5,1,1,0,"1,76,689",0,0,0,0,0,0,0,1
2,22,Ansari Khad Bhandar, 2 ,10,2,1,0,0,0,0,0,0,0,0,0,1
1,12,ANUGRAHA TRADERS, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
1,24,Anushiya Agent, 2 ,5,2,1,0,0,0,0,0,0,0,0,0,1
4,15,APEX CONSTRUCTION, 2 ,12,2,1,0,0,0,0,0,0,0,0,0,1
1,12,AR HARDWARE, 2 ,16,2,1,"10,65,861","5,68,135","3,99,064","8,65,645","9,12,259","5,49,058","5,76,651",0,0,1
3,29,ARAFAT HARDWARES & BUILDERS, 2 ,15,2,1,"11,57,829","2,95,227","7,12,530","8,44,775","14,68,110",0,0,0,0,1
1,13,AREECODE MARKETING AGENCIES, 2 ,9,2,1,"1,87,166",0,0,0,0,0,0,0,0,1
1,12,ARIHANT ENTERPRISE, 2 ,12,2,1,"3,56,933",0,0,0,0,0,0,0,0,1
4,15,ARIHANT ENTERPRISES, 2 ,12,1,1,0,0,0,0,0,0,0,0,0,1
5,14,ARIHANT IRON, 1 ,9,2,1,"2,55,180",0,"1,63,487","7,15,760","2,53,075",0,0,"2,00,644","2,02,200",0
1,12,ARIHANT TRADRES, 2 ,8,2,1,0,"2,81,423","1,54,569",0,"1,24,690",0,0,"1,28,635","2,62,867",1
2,9,ARISHT SPINNING MILLS, 2 ,6,1,1,0,0,0,0,0,0,0,0,0,1
1,24,AROCKIAMATHA STEELS, 2 ,14,2,1,"4,36,590","8,90,557","3,25,623","3,29,063","3,74,938","3,53,090","4,81,558","2,61,422",0,1
5,5,ARORA CONSTRUCTION, 2 ,9,1,1,0,0,0,0,0,0,0,0,0,1
2,21,ARORA ENTERPRISES, 2 ,16,2,1,"4,75,810",0,0,0,0,0,0,0,0,1
2,21,ARORA IRON STORE, 2 ,13,2,2,"6,35,390","1,51,537","4,56,903","4,55,880","2,99,996","1,76,590","6,41,331","5,00,165","4,91,082",1
1,24,ARS IRON AND CEMENTS, 2 ,7,2,2,0,0,0,0,0,0,0,0,0,1
5,14,ARTI MURGI PALAN SWA SAHAYATA SAMUH, 2 ,8,1,1,0,0,0,0,0,0,0,0,0,1
3,20,ARUN ENTERPRISES, 2 ,8,2,1,"8,55,173",0,0,0,"7,64,705",0,0,"2,12,700","10,59,614",1
5,14,ARUN SHRI HARDWARE, 1 ,7,1,1,0,0,0,0,0,0,0,0,0,0
1,24,ARUNACHALA GOUNDER & CO, 2 ,16,2,2,"39,18,972","39,95,324","31,44,682","18,08,754","26,47,874","26,88,122","39,06,486","24,22,570","34,99,752",1
1,24,ARUNACHALA GOWNDER AGENCIES, 2 ,13,2,2,"2,93,275","6,63,726","7,55,685","9,07,721","2,81,047","6,48,200","2,70,630","4,74,043","3,19,517",1
5,5,ARVIND TRADERS, 2 ,12,2,2,"10,31,630",0,"2,27,550",0,0,0,0,0,0,1
4,15,ARWADE INFRASTRUCTURE LTD, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
2,27,ARYA TRADERS, 2 ,14,2,1,"1,35,274","1,33,671","2,82,551","75,943","2,05,747","1,46,205","1,49,771","1,55,161","2,90,418",1
1,24,AS TRADERS, 2 ,11,2,1,"2,45,218","2,80,941","1,26,729","1,41,116","3,90,726","1,21,512","2,56,804","2,92,140","3,82,990",1
2,21,ASA STEEL TRADERS, 2 ,9,2,1,"3,51,847","1,59,158","1,58,244","1,60,077","3,19,382","5,47,067",0,"3,61,577","3,75,424",1
2,27,Asarfi Ciment Agency, 2 ,12,2,1,"10,14,089","3,26,434","3,19,710","2,19,669","6,55,816","4,18,379","4,76,782","3,85,878","10,08,822",1
5,27,ASBESTAS SALES CORPORATION, 2 ,11,1,1,0,"1,46,064","1,04,625",0,0,0,0,0,0,1
3,29,"Asbestos Bipanan Kendra,", 2 ,15,2,2,"78,57,488","45,97,314","45,65,060","34,77,174","60,21,719","36,94,094","44,42,158","42,11,429","70,83,425",1
1,12,ASHAPURA STEELS, 2 ,11,2,1,0,0,0,0,"2,19,393","89,681","1,55,714",0,0,1
1,24,ASHOK BAMBOO DEPOT, 2 ,14,2,1,"12,63,201","16,08,569","10,50,019","8,50,338","11,81,715","11,62,828","11,62,398","9,46,175","11,01,260",1
2,8,ASHOK KUMAR ANIL KUMAR JAIN, 2 ,15,2,1,"3,94,525","2,67,803","3,37,738","1,17,658","2,53,421","3,64,499","3,63,119","8,87,768","2,87,972",1
1,13,ASHOK TRADELINES, 2 ,15,2,2,"10,69,901","11,92,324","6,39,974","12,02,514","13,69,646","4,44,863","9,71,720","17,26,743","10,60,081",1
1,24,ASHOK TRADING COMPAMY, 2 ,8,2,1,0,0,0,0,0,0,0,0,0,1
2,8,ASHOKA AGRO INDUSTRIES, 2 ,11,2,2,"2,31,741","4,58,201","4,71,064","2,90,970","1,20,014","3,44,263","5,77,356","11,24,581","9,14,629",1
4,15,ASHOKA ASBESTOS, 2 ,13,2,1,"5,17,642","4,37,543","5,32,560","4,36,850","2,82,900","5,41,742","13,69,875","5,19,416","5,78,063",1
2,27,ASHOKA CEMENT STORE, 2 ,11,2,1,"9,60,160","4,12,094","6,29,917","3,87,878","8,49,423","6,61,703","9,11,496","5,25,571","10,52,618",1
2,22,Ashoka Steel, 2 ,14,2,1,0,0,0,0,0,0,0,0,"3,86,605",1
4,15,ASHRAF TRADERS, 2 ,11,2,1,0,0,"1,19,880",0,0,0,0,0,0,1
3,4,ASHUTOSH TRADERS, 2 ,7,2,1,"1,70,268",0,0,0,0,0,0,0,0,1
4,15,ASHWINI TRADERS, 2 ,16,2,2,"1,28,460","1,20,870",0,"1,28,400","63,200","50,525",0,"1,23,885","74,400",1
1,24,ASIAN TEX, 1 ,6,1,1,0,0,0,0,0,0,0,0,0,0
1,24,ASR TRADERS, 2 ,14,2,2,"12,44,672","8,23,740","11,23,680","10,40,430","11,78,849","8,35,440","14,73,513","7,91,815",0,1
1,12,ASR TRADERS, 2 ,8,2,1,0,"2,10,871","3,23,716",0,"1,66,842",0,0,0,0,1
1,24,ASSOCIATED AGENCIES, 2 ,15,2,2,"45,73,553","54,99,145","1,12,35,498","89,42,469","61,44,203","43,39,768","46,44,336","38,58,326","27,58,099",1
5,27,ASTHBHUJA TRADERS, 2 ,13,2,1,"11,95,481","3,39,042","6,47,433","22,78,804","25,37,673","11,45,304","30,54,743","13,91,132",0,1
1,24,ASWIN TRADERS, 2 ,9,2,1,0,0,0,0,0,"98,109",0,0,"87,205",1
2,27,ATMA GAS AND ISPAT KENDRA, 2 ,8,2,2,"4,03,490","1,34,380",0,"1,31,339","1,45,157","3,22,152","1,52,838","1,23,393","1,51,883",1
2,9,AURO SPINNING MILLS, 2 ,7,1,1,0,0,0,0,0,0,0,0,0,1
2,28,AURO SUNDRAM PLY &DOOR PVT. LTD., 1 ,15,1,1,0,0,0,0,0,0,0,0,0,0
1,24,AVGA NATRAJ ENTERPRISES, 2 ,5,2,1,"76,006","1,93,969","2,58,298","1,60,930","3,63,866",0,"2,54,447","23,972","2,63,448",1
2,8,AVTAR STEEL, 2 ,12,2,1,"12,59,295","8,35,649","6,12,303","8,09,187","11,18,697","11,53,256","9,65,314","11,72,588","8,94,332",1
5,14,AWATHE TRADERS, 2 ,9,2,1,"2,39,680",0,"4,52,140",0,"2,43,311",0,0,"1,92,000","1,98,000",1
1,24,AYYANAR TIMBERS & HARDWARES, 2 ,13,2,1,"8,22,345","8,95,940","6,62,132","4,06,306","5,45,490","3,05,618","5,65,623","4,16,458","7,12,025",1
2,27,AZAD BUILDING MATERIALS, 2 ,11,2,1,"7,46,504","2,42,180","6,41,868","97,619","84,234",0,"6,23,620","5,81,821","1,55,813",1
3,29,B D CASTING LIMITED, 2 ,6,1,1,0,0,0,0,0,0,0,0,0,1
3,20,B K ENTERPRISE, 2 ,15,2,1,"5,71,175",0,0,"2,72,003",0,0,0,0,0,1
3,20,B P ENTERPRISES, 2 ,15,2,1,"69,083",0,0,0,0,0,0,0,0,1
1,13,B VASANTHA PAI, 2 ,11,2,1,"32,65,931","12,01,217","13,70,127","13,46,727","21,39,482","8,48,358","8,03,422","11,06,321","16,21,858",1
2,8,B.D.ISPAT PRIVATE LTD, 2 ,11,1,1,0,0,0,0,0,0,0,0,0,1
1,24,B.NAGARATHINAM, 2 ,15,1,1,0,0,0,0,0,0,0,0,0,1
5,5,B.R SALES, 2 ,12,2,2,0,0,0,0,0,0,0,0,0,1
4,15,B.S.JAIN, 2 ,5,2,1,"1,80,920",0,0,0,0,"1,04,738",0,"1,17,000","1,23,875",1
3,20,Baba Timber Sales, 2 ,13,2,1,"16,71,315","4,02,551","7,90,929","7,88,121","22,38,818","2,51,003","4,34,306","9,60,762","14,81,192",1
5,14,BABAJI AGENCY, 2 ,11,1,1,"1,59,689","1,70,220",0,0,0,0,"3,69,084","1,95,797","3,69,450",1
1,24,Babu Hardwares, 2 ,6,2,1,"1,82,454",0,0,0,0,0,0,0,0,1
2,27,BABU RAM RAKESH KUMAR, 1 ,16,2,1,"1,73,067","2,38,958","3,04,794","2,39,682","2,50,923","1,52,936","3,07,770","2,34,544","2,50,170",0
2,21,BABU RAM VI2D KUMAR, 2 ,11,2,2,"17,69,558","9,76,168","6,29,294","13,26,686","9,12,741","8,64,230","9,47,058","9,11,633","9,49,044",1
3,20,BABULAL AGARWAL, 2 ,5,2,1,0,0,0,"1,52,963",0,0,0,0,0,1
2,21,BADHWAR IRON STORE, 2 ,9,2,2,"2,84,450","1,20,386","1,53,699",0,0,0,0,0,0,1
1,24,BADRI ENTERPRISE, 2 ,5,2,1,"5,64,115","4,35,295","2,80,365","2,88,538","2,84,623","1,42,350","1,38,400","1,61,450",0,1
2,27,Badri Nath Kedar Nath, 2 ,16,2,2,"7,77,603","2,97,114","10,21,469","10,90,456","12,58,330","4,23,526","6,73,747","8,73,173",0,1
2,8,badrinath trading co, 2 ,16,2,2,"64,37,237",0,0,"3,08,278",0,0,0,0,0,1
1,13,BADRIYA TRADERS, 2 ,7,2,1,0,0,0,0,0,0,0,0,0,1
4,7,BADRUDDIN YOOSUFBHAI & CO, 2 ,15,2,2,"75,83,625","15,75,440","9,93,908","27,96,722","31,23,627","12,11,335","20,09,659","61,88,357","68,62,751",1
3,4,BAIDYANATH SINGH & BROTHERS, 2 ,11,2,1,"3,01,338",0,0,0,"1,48,123","1,59,893",0,0,0,1
3,20,BAIKUNTHA NATH SAHOO, 2 ,13,2,1,"5,24,565","3,56,676","1,66,565",0,0,0,0,0,0,1
3,3,Bajaj Engineering Co, 2 ,15,2,1,"6,44,255","4,565",0,0,0,0,0,0,0,1
5,27,BAJAJ MACHINERY STORES, 2 ,8,2,1,"2,50,204","2,54,729","1,26,828","1,15,366","2,50,288","1,66,369","1,10,102","2,37,478","2,53,902",1
5,14,BAJAJ POULTRY FARM, 2 ,6,1,1,0,0,0,0,0,0,0,0,0,1
2,22,Bajrang Lal Suresh Chand Grand Sons, 2 ,9,2,1,"1,71,939","12,250",0,0,0,0,0,0,0,1
2,21,BAJRANG STEELS, 2 ,14,2,2,"3,43,869",0,0,0,0,0,0,0,0,1
